Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,word_count
1957,75,5,3,"It's a cat, Ronald. What do you expect? It's in his nature.",12
1959,75,5,3,"That's rich... coming from the owner of that smelly old shoe brush. Crookshanks, just ignore the mean little boy.",19
1964,75,5,3,You know the Egyptians used to worship cats?,8
1988,75,5,3,"Good morning, Mr. Weasley.",4
2006,76,42,3,"Honestly, Ron, it's not funny. Harry was lucky not to be expelled.",12
2009,76,42,3,Come on. Everywhere else is full.,6
2013,76,42,3,"It's on his suitcase, Ronald.",5
2016,76,42,3,Seems to be. Why?,4
2020,76,42,3,"But they'll catch Black, won't they? I mean, everyone's looking for him.",12
2023,76,42,3,Why are we stopping? We can't be there yet.,9
2026,76,42,3,"Ouch, Ron. That was my foot.",6
2029,76,42,3,"Harry. Harry, are you all right?",6
2039,76,42,3,"No one was screaming, Harry.",5
2041,77,36,3,"Of course. That's why he knew to give you the chocolate, Harry.",12
2060,78,32,3,What a load of rubbish.,5
2062,78,32,3,Me? I've been here all this time.,7
2072,78,40,3,"Oh, honestly, Ron. If you ask me, Divination's a woolly discipline. Now, Ancient Runes, that's a fascinating subject.",18
2076,78,40,3,Don't be silly Ron. How could anyone be in two classes at once? Broaden your minds. Use your Inner Eye to see the future!.,24
2082,79,40,3,I think they're funny.,4
2104,79,40,3,Hagrid! He has to be taken to the hospital.,9
2113,80,36,3,Yeah but I heard Draco's father's furious. We haven't heard the end of this.,14
2117,80,36,3,Dufftown? That's not far from here.,6
2126,80,30,3,Boggarts are shape-shifters. They take the shape of whatever a particular person fears the most. That's what makes them so...,20
2168,82,39,3,"It's not funny, Ron.",4
2199,83,30,3,"But sir, we just learned about red caps and hinkypunks. We're not meant to start that for weeks.",18
2203,83,30,3,"Please, sir. An Animagus is a wizard who elects to turn into an animal. A werewolf has no choice. With each full moon, when he transforms, he no longer remembers who he is. He'd kill his best friend if he crossed his path. Furthermore, the werewolf only responds to the call of its own kind.",55
2209,84,51,3,"Go, Harry! Go, Harry!",4
2215,84,43,3,How are you feeling?,4
2221,84,43,3,"Umm... no one blames you, Harry. The dementors aren't supposed to come inside the grounds. Dumbledore's furious. As soon as he saved you, he sent them off.",27
2277,86,19,3,It's meant to be the most haunted building in Britain. Did I mention that?,14
2279,86,19,3,Do you want to move a bit closer?,8
2285,86,19,3,Hope you don't mean yourself!,5
2294,87,22,3,But Harry isn't going to keep it. He's going to turn it over to Professor McGonagall. Aren't you?,18
2296,87,22,3,"Oh, Look who it is. Madam Rosmerta. Ron fancies her.",10
2332,87,22,3,"Ron, look! Sorry, sorry. Excuse me, excuse me, sorry. Harry, what happened?",12
2357,88,37,3,Ronald has lost his rat.,5
2361,88,37,3,"Well, maybe you should take better care of your pets!",10
